term,match,status,category,question,allowed_when,source,notes
load-bearing,phrase,rewrite,stock metaphor,"What depends on it, and what fails without it?",Literal structural use; direct quotation; deliberate house voice,user seed,Prefer the actual dependency and failure.
blast radius,phrase,rewrite,risk metaphor,"Exactly what is affected, and what is not?",Incident-response audience when the exact scope is also stated; direct quotation,user seed,"Name users, services, records, regions, or requests."
footgun,word,rewrite,insider slang,"What mistake is easy to make, and what happens?",Deliberate informal developer voice; direct quotation,user seed,Name the unsafe default or misuse.
yak shaving,phrase,rewrite,insider slang,Which prerequisite task delays the main task?,Deliberate informal voice; direct quotation,user seed,Name the prerequisite work.
belt-and-suspenders,phrase,rewrite,stock idiom,What are the two independent safeguards?,Deliberate informal voice; direct quotation,user seed,Name both safeguards and why both exist.
belt and suspenders,phrase,rewrite,stock idiom,What are the two independent safeguards?,Deliberate informal voice; direct quotation,user seed,Unhyphenated variant.
smoking gun,phrase,rewrite,evidence idiom,Which evidence shows the event or cause?,Direct quotation; deliberate narrative voice,user seed,Name the evidence and what it establishes.
spine,word,inspect,structural metaphor,"What is the actual order, structure, or central argument?",Literal anatomy; book terminology; deliberate metaphor,user seed,Often hides outline or dependency details.
seam,word,rewrite,structural metaphor,Which two components or responsibilities meet here?,Literal material use; precise domain term; deliberate metaphor,user seed,Name the interface or shared responsibility.
seams,word,rewrite,structural metaphor,Which components or responsibilities meet here?,Literal material use; precise domain term; deliberate metaphor,user seed,Plural form.
gate,word,inspect,process shorthand,What condition must pass before what action?,Literal gate; logic gate; standard named domain concept,user seed,"May mean test, approval, deadline, flag, or authority."
gating,word,inspect,process shorthand,What condition controls what action?,Standard domain term when exact,claudeisms seed,Use a direct verb or explicit requirement when possible.
gated,word,inspect,process shorthand,What condition prevented or allowed the action?,Standard domain term when exact,claudeisms seed,State the condition and result.
substrate,word,rewrite,structural metaphor,"What actual platform, runtime, store, network, or material is meant?",Literal scientific or hardware use; defined technical term,user seed,Name the actual thing.
scaffold,word,inspect,construction metaphor,"Is this temporary code, generated structure, setup, or an example?",Literal use; framework's official term,claudeisms seed,Name the temporary or generated work.
scaffolds,word,inspect,construction metaphor,What structures or generates what?,Literal use; framework's official term,claudeisms seed,Prefer the direct action.
scaffolding,word,inspect,construction metaphor,"Is this temporary code, generated structure, setup, or an example?",Literal use; framework's official term,user seed,Name the temporary or generated work.
